2025-07-04 09:56:38 - INFO - app - 📌 기준 시점: 2025-06-01 00:00:00
2025-07-04 09:56:38 - INFO - app - 📆 총 2개 날짜, 36개 시점 생성 완료
2025-07-04 09:56:38 - INFO - app - ✅ Data load skip: 총 2개 파일 저장됨
2025-07-04 09:56:45 - INFO - app - ✅ 날짜 20250531: 정상 변환되었습니다..
2025-07-04 09:56:45 - INFO - app - ✅ 데이터 링크변환 skip: 20250531
2025-07-04 09:56:53 - INFO - app - ✅ 날짜 20250525: 정상 변환되었습니다..
2025-07-04 09:56:53 - INFO - app - ✅ 데이터 링크변환 skip: 20250525
2025-07-04 09:57:04 - WARNING - app - ⚠️ 클러스터 0에 유효한 데이터 없음
2025-07-04 09:57:07 - WARNING - app - ⚠️ 클러스터 1에 유효한 데이터 없음
2025-07-04 09:57:11 - WARNING - app - ⚠️ 클러스터 2에 유효한 데이터 없음
2025-07-04 09:57:15 - WARNING - app - ⚠️ 클러스터 3에 유효한 데이터 없음
2025-07-04 09:57:18 - WARNING - app - ⚠️ 클러스터 4에 유효한 데이터 없음
2025-07-04 09:57:22 - WARNING - app - ⚠️ 클러스터 5에 유효한 데이터 없음
2025-07-04 09:57:26 - WARNING - app - ⚠️ 클러스터 6에 유효한 데이터 없음
2025-07-04 09:57:30 - WARNING - app - ⚠️ 클러스터 7에 유효한 데이터 없음
2025-07-04 09:57:34 - WARNING - app - ⚠️ 클러스터 8에 유효한 데이터 없음
2025-07-04 09:57:38 - WARNING - app - ⚠️ 클러스터 9에 유효한 데이터 없음
2025-07-04 09:57:42 - WARNING - app - ⚠️ 클러스터 10에 유효한 데이터 없음
2025-07-04 09:57:45 - WARNING - app - ⚠️ 클러스터 11에 유효한 데이터 없음
2025-07-04 09:57:49 - WARNING - app - ⚠️ 클러스터 12에 유효한 데이터 없음
2025-07-04 09:57:53 - WARNING - app - ⚠️ 클러스터 13에 유효한 데이터 없음
2025-07-04 09:58:15 - WARNING - app - ⚠️ 클러스터 14에 유효한 데이터 없음
2025-07-04 09:58:19 - WARNING - app - ⚠️ 클러스터 15에 유효한 데이터 없음
2025-07-04 09:58:23 - WARNING - app - ⚠️ 클러스터 16에 유효한 데이터 없음
2025-07-04 09:58:32 - WARNING - app - ⚠️ 클러스터 17에 유효한 데이터 없음
2025-07-04 09:58:36 - WARNING - app - ⚠️ 클러스터 18에 유효한 데이터 없음
