2025-07-11 13:59:22 - INFO - app - 📆 date_range 모드: 총 37일 간 데이터 조회 예정 → ['20250525', '20250526', '20250527', '20250528', '20250529', '20250530', '20250531', '20250601', '20250602', '20250603', '20250604', '20250605', '20250606', '20250607', '20250608', '20250609', '20250610', '20250611', '20250612', '20250613', '20250614', '20250615', '20250616', '20250617', '20250618', '20250619', '20250620', '20250621', '20250622', '20250623', '20250624', '20250625', '20250626', '20250627', '20250628', '20250629', '20250630']
2025-07-11 13:59:22 - INFO - app - ✅ Data load skip: 총 37개 파일 저장됨
2025-07-11 13:59:25 - INFO - app - ✅ 날짜 20250525: 4309개 링크 병렬 처리 완료
2025-07-11 13:59:30 - INFO - app - ✅ 날짜 20250526: 4309개 링크 병렬 처리 완료
2025-07-11 13:59:36 - INFO - app - ✅ 날짜 20250527: 4309개 링크 병렬 처리 완료
2025-07-11 13:59:42 - INFO - app - ✅ 날짜 20250528: 4309개 링크 병렬 처리 완료
2025-07-11 13:59:47 - INFO - app - ✅ 날짜 20250529: 4309개 링크 병렬 처리 완료
2025-07-11 13:59:55 - INFO - app - ✅ 날짜 20250530: 4309개 링크 병렬 처리 완료
2025-07-11 14:00:01 - INFO - app - ✅ 날짜 20250531: 4309개 링크 병렬 처리 완료
2025-07-11 14:00:07 - INFO - app - ✅ 날짜 20250601: 4309개 링크 병렬 처리 완료
2025-07-11 14:00:12 - INFO - app - ✅ 날짜 20250602: 4309개 링크 병렬 처리 완료
2025-07-11 14:00:18 - INFO - app - ✅ 날짜 20250603: 4309개 링크 병렬 처리 완료
2025-07-11 14:00:25 - INFO - app - ✅ 날짜 20250604: 4309개 링크 병렬 처리 완료
2025-07-11 14:00:31 - INFO - app - ✅ 날짜 20250605: 4309개 링크 병렬 처리 완료
2025-07-11 14:00:37 - INFO - app - ✅ 날짜 20250606: 4309개 링크 병렬 처리 완료
2025-07-11 14:00:44 - INFO - app - ✅ 날짜 20250607: 4309개 링크 병렬 처리 완료
2025-07-11 14:00:50 - INFO - app - ✅ 날짜 20250608: 4309개 링크 병렬 처리 완료
2025-07-11 14:00:57 - INFO - app - ✅ 날짜 20250609: 4309개 링크 병렬 처리 완료
2025-07-11 14:01:03 - INFO - app - ✅ 날짜 20250610: 4309개 링크 병렬 처리 완료
2025-07-11 14:01:13 - INFO - app - ✅ 날짜 20250611: 4309개 링크 병렬 처리 완료
2025-07-11 14:01:20 - INFO - app - ✅ 날짜 20250612: 4309개 링크 병렬 처리 완료
2025-07-11 14:01:26 - INFO - app - ✅ 날짜 20250613: 4309개 링크 병렬 처리 완료
2025-07-11 14:01:33 - INFO - app - ✅ 날짜 20250614: 4309개 링크 병렬 처리 완료
2025-07-11 14:01:33 - ERROR - app - ❌ 날짜 20250615 처리 중 오류 발생: [Errno 2] No such file or directory: 'Data/Raw/20250615.parquet'
2025-07-11 14:01:40 - INFO - app - ✅ 날짜 20250616: 4309개 링크 병렬 처리 완료
2025-07-11 14:01:46 - INFO - app - ✅ 날짜 20250617: 4309개 링크 병렬 처리 완료
