2025-07-17 11:19:02 - INFO - app - 📆 date_range 모드: 총 22일 간 데이터 조회 예정 → [datetime.datetime(2025, 6, 10, 0, 0), datetime.datetime(2025, 6, 11, 0, 0), datetime.datetime(2025, 6, 12, 0, 0), datetime.datetime(2025, 6, 13, 0, 0), datetime.datetime(2025, 6, 14, 0, 0), datetime.datetime(2025, 6, 17, 0, 0), datetime.datetime(2025, 6, 18, 0, 0), datetime.datetime(2025, 6, 19, 0, 0), datetime.datetime(2025, 6, 20, 0, 0), datetime.datetime(2025, 6, 21, 0, 0), datetime.datetime(2025, 6, 24, 0, 0), datetime.datetime(2025, 6, 25, 0, 0), datetime.datetime(2025, 6, 26, 0, 0), datetime.datetime(2025, 6, 27, 0, 0), datetime.datetime(2025, 6, 28, 0, 0), datetime.datetime(2025, 6, 29, 0, 0), datetime.datetime(2025, 6, 30, 0, 0), datetime.datetime(2025, 7, 1, 0, 0), datetime.datetime(2025, 7, 2, 0, 0), datetime.datetime(2025, 7, 3, 0, 0), datetime.datetime(2025, 7, 4, 0, 0), datetime.datetime(2025, 7, 5, 0, 0)]
2025-07-17 11:19:02 - INFO - app - ✅ Data load skip: 총 22개 파일 저장됨
2025-07-17 11:19:31 - INFO - app - ✅ test 데이터셋 저장 완료: Model/v2/test_data.npz 
2025-07-17 11:19:31 - INFO - app - ✅ 데이터 전처리(x) 완료: Model/v2에 저장됨
2025-07-17 11:19:31 - INFO - app - ✅ 데이터 전처리(y) skip: Model/v2에 저장됨
2025-07-17 11:19:31 - INFO - app - Saved model for step 0 → Model/v2/lgbm_step_000.pkl
2025-07-17 11:19:31 - INFO - app - Saved model for step 1 → Model/v2/lgbm_step_001.pkl
2025-07-17 11:19:32 - INFO - app - Saved model for step 2 → Model/v2/lgbm_step_002.pkl
2025-07-17 11:19:32 - INFO - app - Saved model for step 3 → Model/v2/lgbm_step_003.pkl
2025-07-17 11:19:33 - INFO - app - Saved model for step 4 → Model/v2/lgbm_step_004.pkl
2025-07-17 11:19:33 - INFO - app - Saved model for step 5 → Model/v2/lgbm_step_005.pkl
2025-07-17 11:19:34 - INFO - app - Saved model for step 6 → Model/v2/lgbm_step_006.pkl
2025-07-17 11:19:34 - INFO - app - Saved model for step 7 → Model/v2/lgbm_step_007.pkl
2025-07-17 11:19:34 - INFO - app - Saved model for step 8 → Model/v2/lgbm_step_008.pkl
2025-07-17 11:19:35 - INFO - app - Saved model for step 9 → Model/v2/lgbm_step_009.pkl
2025-07-17 11:19:35 - INFO - app - Saved model for step 10 → Model/v2/lgbm_step_010.pkl
2025-07-17 11:19:36 - INFO - app - Saved model for step 11 → Model/v2/lgbm_step_011.pkl
2025-07-17 11:19:36 - INFO - app - Saved model for step 12 → Model/v2/lgbm_step_012.pkl
2025-07-17 11:19:37 - INFO - app - Saved model for step 13 → Model/v2/lgbm_step_013.pkl
2025-07-17 11:19:37 - INFO - app - Saved model for step 14 → Model/v2/lgbm_step_014.pkl
2025-07-17 11:19:37 - INFO - app - Saved model for step 15 → Model/v2/lgbm_step_015.pkl
2025-07-17 11:19:38 - INFO - app - Saved model for step 16 → Model/v2/lgbm_step_016.pkl
2025-07-17 11:19:38 - INFO - app - Saved model for step 17 → Model/v2/lgbm_step_017.pkl
2025-07-17 11:19:39 - INFO - app - Saved model for step 18 → Model/v2/lgbm_step_018.pkl
2025-07-17 11:19:39 - INFO - app - Saved model for step 19 → Model/v2/lgbm_step_019.pkl
2025-07-17 11:19:40 - INFO - app - Saved model for step 20 → Model/v2/lgbm_step_020.pkl
2025-07-17 11:19:40 - INFO - app - Saved model for step 21 → Model/v2/lgbm_step_021.pkl
2025-07-17 11:19:42 - INFO - app - Saved model for step 22 → Model/v2/lgbm_step_022.pkl
2025-07-17 11:19:42 - INFO - app - Saved model for step 23 → Model/v2/lgbm_step_023.pkl
2025-07-17 11:19:43 - INFO - app - Saved model for step 24 → Model/v2/lgbm_step_024.pkl
2025-07-17 11:19:43 - INFO - app - Saved model for step 25 → Model/v2/lgbm_step_025.pkl
2025-07-17 11:19:44 - INFO - app - Saved model for step 26 → Model/v2/lgbm_step_026.pkl
2025-07-17 11:19:44 - INFO - app - Saved model for step 27 → Model/v2/lgbm_step_027.pkl
2025-07-17 11:19:45 - INFO - app - Saved model for step 28 → Model/v2/lgbm_step_028.pkl
2025-07-17 11:19:45 - INFO - app - Saved model for step 29 → Model/v2/lgbm_step_029.pkl
2025-07-17 11:19:45 - INFO - app - Saved model for step 30 → Model/v2/lgbm_step_030.pkl
2025-07-17 11:19:46 - INFO - app - Saved model for step 31 → Model/v2/lgbm_step_031.pkl
2025-07-17 11:19:46 - INFO - app - Saved model for step 32 → Model/v2/lgbm_step_032.pkl
2025-07-17 11:19:47 - INFO - app - Saved model for step 33 → Model/v2/lgbm_step_033.pkl
2025-07-17 11:19:47 - INFO - app - Saved model for step 34 → Model/v2/lgbm_step_034.pkl
2025-07-17 11:19:48 - INFO - app - Saved model for step 35 → Model/v2/lgbm_step_035.pkl
2025-07-17 11:19:48 - INFO - app - Saved model for step 36 → Model/v2/lgbm_step_036.pkl
2025-07-17 11:19:48 - INFO - app - Saved model for step 37 → Model/v2/lgbm_step_037.pkl
2025-07-17 11:19:49 - INFO - app - Saved model for step 38 → Model/v2/lgbm_step_038.pkl
2025-07-17 11:19:49 - INFO - app - Saved model for step 39 → Model/v2/lgbm_step_039.pkl
2025-07-17 11:19:50 - INFO - app - Saved model for step 40 → Model/v2/lgbm_step_040.pkl
2025-07-17 11:19:50 - INFO - app - Saved model for step 41 → Model/v2/lgbm_step_041.pkl
2025-07-17 11:19:51 - INFO - app - Saved model for step 42 → Model/v2/lgbm_step_042.pkl
2025-07-17 11:19:51 - INFO - app - Saved model for step 43 → Model/v2/lgbm_step_043.pkl
2025-07-17 11:19:51 - INFO - app - Saved model for step 44 → Model/v2/lgbm_step_044.pkl
2025-07-17 11:19:52 - INFO - app - Saved model for step 45 → Model/v2/lgbm_step_045.pkl
2025-07-17 11:19:52 - INFO - app - Saved model for step 46 → Model/v2/lgbm_step_046.pkl
2025-07-17 11:19:53 - INFO - app - Saved model for step 47 → Model/v2/lgbm_step_047.pkl
2025-07-17 11:19:53 - INFO - app - Saved model for step 48 → Model/v2/lgbm_step_048.pkl
2025-07-17 11:19:54 - INFO - app - Saved model for step 49 → Model/v2/lgbm_step_049.pkl
2025-07-17 11:19:54 - INFO - app - Saved model for step 50 → Model/v2/lgbm_step_050.pkl
2025-07-17 11:19:54 - INFO - app - Saved model for step 51 → Model/v2/lgbm_step_051.pkl
2025-07-17 11:19:55 - INFO - app - Saved model for step 52 → Model/v2/lgbm_step_052.pkl
2025-07-17 11:19:55 - INFO - app - Saved model for step 53 → Model/v2/lgbm_step_053.pkl
2025-07-17 11:19:56 - INFO - app - Saved model for step 54 → Model/v2/lgbm_step_054.pkl
2025-07-17 11:19:56 - INFO - app - Saved model for step 55 → Model/v2/lgbm_step_055.pkl
2025-07-17 11:19:56 - INFO - app - Saved model for step 56 → Model/v2/lgbm_step_056.pkl
2025-07-17 11:19:57 - INFO - app - Saved model for step 57 → Model/v2/lgbm_step_057.pkl
2025-07-17 11:19:57 - INFO - app - Saved model for step 58 → Model/v2/lgbm_step_058.pkl
2025-07-17 11:19:58 - INFO - app - Saved model for step 59 → Model/v2/lgbm_step_059.pkl
2025-07-17 11:19:58 - INFO - app - Saved model for step 60 → Model/v2/lgbm_step_060.pkl
2025-07-17 11:19:58 - INFO - app - Saved model for step 61 → Model/v2/lgbm_step_061.pkl
