2025-07-17 13:17:05 - INFO - app - 📆 date_range 모드: 총 81일 간 데이터 조회 예정 → [datetime.datetime(2025, 3, 11, 0, 0), datetime.datetime(2025, 3, 12, 0, 0), datetime.datetime(2025, 3, 13, 0, 0), datetime.datetime(2025, 3, 14, 0, 0), datetime.datetime(2025, 3, 15, 0, 0), datetime.datetime(2025, 3, 16, 0, 0), datetime.datetime(2025, 3, 17, 0, 0), datetime.datetime(2025, 3, 18, 0, 0), datetime.datetime(2025, 3, 19, 0, 0), datetime.datetime(2025, 3, 20, 0, 0), datetime.datetime(2025, 3, 21, 0, 0), datetime.datetime(2025, 3, 22, 0, 0), datetime.datetime(2025, 3, 23, 0, 0), datetime.datetime(2025, 3, 24, 0, 0), datetime.datetime(2025, 3, 25, 0, 0), datetime.datetime(2025, 3, 26, 0, 0), datetime.datetime(2025, 3, 27, 0, 0), datetime.datetime(2025, 3, 28, 0, 0), datetime.datetime(2025, 3, 29, 0, 0), datetime.datetime(2025, 3, 30, 0, 0), datetime.datetime(2025, 3, 31, 0, 0), datetime.datetime(2025, 4, 1, 0, 0), datetime.datetime(2025, 4, 2, 0, 0), datetime.datetime(2025, 4, 3, 0, 0), datetime.datetime(2025, 4, 4, 0, 0), datetime.datetime(2025, 4, 5, 0, 0), datetime.datetime(2025, 4, 6, 0, 0), datetime.datetime(2025, 4, 7, 0, 0), datetime.datetime(2025, 4, 8, 0, 0), datetime.datetime(2025, 4, 9, 0, 0), datetime.datetime(2025, 4, 10, 0, 0), datetime.datetime(2025, 4, 11, 0, 0), datetime.datetime(2025, 4, 12, 0, 0), datetime.datetime(2025, 4, 13, 0, 0), datetime.datetime(2025, 4, 14, 0, 0), datetime.datetime(2025, 4, 15, 0, 0), datetime.datetime(2025, 4, 16, 0, 0), datetime.datetime(2025, 4, 17, 0, 0), datetime.datetime(2025, 4, 18, 0, 0), datetime.datetime(2025, 4, 19, 0, 0), datetime.datetime(2025, 4, 20, 0, 0), datetime.datetime(2025, 4, 21, 0, 0), datetime.datetime(2025, 4, 22, 0, 0), datetime.datetime(2025, 4, 23, 0, 0), datetime.datetime(2025, 4, 24, 0, 0), datetime.datetime(2025, 4, 25, 0, 0), datetime.datetime(2025, 4, 26, 0, 0), datetime.datetime(2025, 4, 27, 0, 0), datetime.datetime(2025, 4, 28, 0, 0), datetime.datetime(2025, 4, 29, 0, 0), datetime.datetime(2025, 4, 30, 0, 0), datetime.datetime(2025, 5, 1, 0, 0), datetime.datetime(2025, 5, 2, 0, 0), datetime.datetime(2025, 5, 3, 0, 0), datetime.datetime(2025, 5, 4, 0, 0), datetime.datetime(2025, 5, 5, 0, 0), datetime.datetime(2025, 5, 6, 0, 0), datetime.datetime(2025, 5, 7, 0, 0), datetime.datetime(2025, 5, 8, 0, 0), datetime.datetime(2025, 5, 9, 0, 0), datetime.datetime(2025, 5, 10, 0, 0), datetime.datetime(2025, 5, 11, 0, 0), datetime.datetime(2025, 5, 12, 0, 0), datetime.datetime(2025, 5, 13, 0, 0), datetime.datetime(2025, 5, 14, 0, 0), datetime.datetime(2025, 5, 15, 0, 0), datetime.datetime(2025, 5, 16, 0, 0), datetime.datetime(2025, 5, 17, 0, 0), datetime.datetime(2025, 5, 18, 0, 0), datetime.datetime(2025, 5, 19, 0, 0), datetime.datetime(2025, 5, 20, 0, 0), datetime.datetime(2025, 5, 21, 0, 0), datetime.datetime(2025, 5, 22, 0, 0), datetime.datetime(2025, 5, 23, 0, 0), datetime.datetime(2025, 5, 24, 0, 0), datetime.datetime(2025, 5, 25, 0, 0), datetime.datetime(2025, 5, 26, 0, 0), datetime.datetime(2025, 5, 27, 0, 0), datetime.datetime(2025, 5, 28, 0, 0), datetime.datetime(2025, 5, 29, 0, 0), datetime.datetime(2025, 5, 30, 0, 0)]
2025-07-17 13:17:05 - INFO - app - ✅ Data load skip: 총 81개 파일 저장됨
2025-07-17 13:17:05 - INFO - app - ✅ 데이터 전처리(x) skip: Model/v2에 저장됨
2025-07-17 13:17:28 - INFO - app - ✅ test y 데이터셋 저장 완료: Model/v2/test_ydata.npz 
2025-07-17 13:17:28 - INFO - app - ✅ 데이터 전처리(y) 완료: Model/v2에 저장됨
2025-07-17 13:17:33 - INFO - app - Saved model for step 0 → Model/v2/lgbm_step_000.pkl
2025-07-17 13:17:37 - INFO - app - Saved model for step 1 → Model/v2/lgbm_step_001.pkl
2025-07-17 13:17:42 - INFO - app - Saved model for step 2 → Model/v2/lgbm_step_002.pkl
2025-07-17 13:17:46 - INFO - app - Saved model for step 3 → Model/v2/lgbm_step_003.pkl
2025-07-17 13:17:51 - INFO - app - Saved model for step 4 → Model/v2/lgbm_step_004.pkl
2025-07-17 13:17:55 - INFO - app - Saved model for step 5 → Model/v2/lgbm_step_005.pkl
2025-07-17 13:18:02 - INFO - app - Saved model for step 6 → Model/v2/lgbm_step_006.pkl
2025-07-17 13:18:06 - INFO - app - Saved model for step 7 → Model/v2/lgbm_step_007.pkl
2025-07-17 13:18:11 - INFO - app - Saved model for step 8 → Model/v2/lgbm_step_008.pkl
2025-07-17 13:18:15 - INFO - app - Saved model for step 9 → Model/v2/lgbm_step_009.pkl
2025-07-17 13:18:20 - INFO - app - Saved model for step 10 → Model/v2/lgbm_step_010.pkl
2025-07-17 13:18:24 - INFO - app - Saved model for step 11 → Model/v2/lgbm_step_011.pkl
2025-07-17 13:18:29 - INFO - app - Saved model for step 12 → Model/v2/lgbm_step_012.pkl
2025-07-17 13:18:35 - INFO - app - Saved model for step 13 → Model/v2/lgbm_step_013.pkl
2025-07-17 13:18:40 - INFO - app - Saved model for step 14 → Model/v2/lgbm_step_014.pkl
2025-07-17 13:18:44 - INFO - app - Saved model for step 15 → Model/v2/lgbm_step_015.pkl
2025-07-17 13:18:49 - INFO - app - Saved model for step 16 → Model/v2/lgbm_step_016.pkl
2025-07-17 13:18:53 - INFO - app - Saved model for step 17 → Model/v2/lgbm_step_017.pkl
2025-07-17 13:18:58 - INFO - app - Saved model for step 18 → Model/v2/lgbm_step_018.pkl
2025-07-17 13:19:02 - INFO - app - Saved model for step 19 → Model/v2/lgbm_step_019.pkl
2025-07-17 13:19:09 - INFO - app - Saved model for step 20 → Model/v2/lgbm_step_020.pkl
2025-07-17 13:19:13 - INFO - app - Saved model for step 21 → Model/v2/lgbm_step_021.pkl
2025-07-17 13:19:18 - INFO - app - Saved model for step 22 → Model/v2/lgbm_step_022.pkl
2025-07-17 13:19:22 - INFO - app - Saved model for step 23 → Model/v2/lgbm_step_023.pkl
2025-07-17 13:19:27 - INFO - app - Saved model for step 24 → Model/v2/lgbm_step_024.pkl
2025-07-17 13:19:31 - INFO - app - Saved model for step 25 → Model/v2/lgbm_step_025.pkl
2025-07-17 13:19:36 - INFO - app - Saved model for step 26 → Model/v2/lgbm_step_026.pkl
2025-07-17 13:19:42 - INFO - app - Saved model for step 27 → Model/v2/lgbm_step_027.pkl
2025-07-17 13:19:46 - INFO - app - Saved model for step 28 → Model/v2/lgbm_step_028.pkl
2025-07-17 13:19:51 - INFO - app - Saved model for step 29 → Model/v2/lgbm_step_029.pkl
2025-07-17 13:19:56 - INFO - app - Saved model for step 30 → Model/v2/lgbm_step_030.pkl
2025-07-17 13:20:00 - INFO - app - Saved model for step 31 → Model/v2/lgbm_step_031.pkl
2025-07-17 13:20:04 - INFO - app - Saved model for step 32 → Model/v2/lgbm_step_032.pkl
2025-07-17 13:20:09 - INFO - app - Saved model for step 33 → Model/v2/lgbm_step_033.pkl
2025-07-17 13:20:15 - INFO - app - Saved model for step 34 → Model/v2/lgbm_step_034.pkl
2025-07-17 13:20:20 - INFO - app - Saved model for step 35 → Model/v2/lgbm_step_035.pkl
2025-07-17 13:20:24 - INFO - app - Saved model for step 36 → Model/v2/lgbm_step_036.pkl
2025-07-17 13:20:29 - INFO - app - Saved model for step 37 → Model/v2/lgbm_step_037.pkl
2025-07-17 13:20:33 - INFO - app - Saved model for step 38 → Model/v2/lgbm_step_038.pkl
2025-07-17 13:20:38 - INFO - app - Saved model for step 39 → Model/v2/lgbm_step_039.pkl
2025-07-17 13:20:42 - INFO - app - Saved model for step 40 → Model/v2/lgbm_step_040.pkl
2025-07-17 13:20:47 - INFO - app - Saved model for step 41 → Model/v2/lgbm_step_041.pkl
2025-07-17 13:20:53 - INFO - app - Saved model for step 42 → Model/v2/lgbm_step_042.pkl
2025-07-17 13:20:57 - INFO - app - Saved model for step 43 → Model/v2/lgbm_step_043.pkl
2025-07-17 13:21:02 - INFO - app - Saved model for step 44 → Model/v2/lgbm_step_044.pkl
2025-07-17 13:21:07 - INFO - app - Saved model for step 45 → Model/v2/lgbm_step_045.pkl
2025-07-17 13:21:11 - INFO - app - Saved model for step 46 → Model/v2/lgbm_step_046.pkl
2025-07-17 13:21:16 - INFO - app - Saved model for step 47 → Model/v2/lgbm_step_047.pkl
2025-07-17 13:21:20 - INFO - app - Saved model for step 48 → Model/v2/lgbm_step_048.pkl
2025-07-17 13:21:27 - INFO - app - Saved model for step 49 → Model/v2/lgbm_step_049.pkl
2025-07-17 13:21:31 - INFO - app - Saved model for step 50 → Model/v2/lgbm_step_050.pkl
2025-07-17 13:21:35 - INFO - app - Saved model for step 51 → Model/v2/lgbm_step_051.pkl
2025-07-17 13:21:40 - INFO - app - Saved model for step 52 → Model/v2/lgbm_step_052.pkl
2025-07-17 13:21:44 - INFO - app - Saved model for step 53 → Model/v2/lgbm_step_053.pkl
2025-07-17 13:21:49 - INFO - app - Saved model for step 54 → Model/v2/lgbm_step_054.pkl
2025-07-17 13:21:53 - INFO - app - Saved model for step 55 → Model/v2/lgbm_step_055.pkl
2025-07-17 13:22:00 - INFO - app - Saved model for step 56 → Model/v2/lgbm_step_056.pkl
2025-07-17 13:22:04 - INFO - app - Saved model for step 57 → Model/v2/lgbm_step_057.pkl
2025-07-17 13:22:09 - INFO - app - Saved model for step 58 → Model/v2/lgbm_step_058.pkl
2025-07-17 13:22:13 - INFO - app - Saved model for step 59 → Model/v2/lgbm_step_059.pkl
2025-07-17 13:22:18 - INFO - app - Saved model for step 60 → Model/v2/lgbm_step_060.pkl
2025-07-17 13:22:22 - INFO - app - Saved model for step 61 → Model/v2/lgbm_step_061.pkl
2025-07-17 13:22:27 - INFO - app - Saved model for step 62 → Model/v2/lgbm_step_062.pkl
2025-07-17 13:22:33 - INFO - app - Saved model for step 63 → Model/v2/lgbm_step_063.pkl
2025-07-17 13:22:38 - INFO - app - Saved model for step 64 → Model/v2/lgbm_step_064.pkl
2025-07-17 13:22:42 - INFO - app - Saved model for step 65 → Model/v2/lgbm_step_065.pkl
2025-07-17 13:22:47 - INFO - app - Saved model for step 66 → Model/v2/lgbm_step_066.pkl
2025-07-17 13:22:51 - INFO - app - Saved model for step 67 → Model/v2/lgbm_step_067.pkl
2025-07-17 13:22:55 - INFO - app - Saved model for step 68 → Model/v2/lgbm_step_068.pkl
2025-07-17 13:23:00 - INFO - app - Saved model for step 69 → Model/v2/lgbm_step_069.pkl
2025-07-17 13:23:06 - INFO - app - Saved model for step 70 → Model/v2/lgbm_step_070.pkl
2025-07-17 13:23:11 - INFO - app - Saved model for step 71 → Model/v2/lgbm_step_071.pkl
2025-07-17 13:23:15 - INFO - app - Saved model for step 72 → Model/v2/lgbm_step_072.pkl
2025-07-17 13:23:20 - INFO - app - Saved model for step 73 → Model/v2/lgbm_step_073.pkl
2025-07-17 13:23:24 - INFO - app - Saved model for step 74 → Model/v2/lgbm_step_074.pkl
2025-07-17 13:23:29 - INFO - app - Saved model for step 75 → Model/v2/lgbm_step_075.pkl
2025-07-17 13:23:33 - INFO - app - Saved model for step 76 → Model/v2/lgbm_step_076.pkl
2025-07-17 13:23:40 - INFO - app - Saved model for step 77 → Model/v2/lgbm_step_077.pkl
2025-07-17 13:23:44 - INFO - app - Saved model for step 78 → Model/v2/lgbm_step_078.pkl
2025-07-17 13:23:49 - INFO - app - Saved model for step 79 → Model/v2/lgbm_step_079.pkl
2025-07-17 13:23:54 - INFO - app - Saved model for step 80 → Model/v2/lgbm_step_080.pkl
2025-07-17 13:23:58 - INFO - app - Saved model for step 81 → Model/v2/lgbm_step_081.pkl
2025-07-17 13:24:02 - INFO - app - Saved model for step 82 → Model/v2/lgbm_step_082.pkl
2025-07-17 13:24:07 - INFO - app - Saved model for step 83 → Model/v2/lgbm_step_083.pkl
2025-07-17 13:24:11 - INFO - app - Saved model for step 84 → Model/v2/lgbm_step_084.pkl
2025-07-17 13:24:18 - INFO - app - Saved model for step 85 → Model/v2/lgbm_step_085.pkl
2025-07-17 13:24:22 - INFO - app - Saved model for step 86 → Model/v2/lgbm_step_086.pkl
2025-07-17 13:24:27 - INFO - app - Saved model for step 87 → Model/v2/lgbm_step_087.pkl
2025-07-17 13:24:31 - INFO - app - Saved model for step 88 → Model/v2/lgbm_step_088.pkl
2025-07-17 13:24:35 - INFO - app - Saved model for step 89 → Model/v2/lgbm_step_089.pkl
2025-07-17 13:24:40 - INFO - app - Saved model for step 90 → Model/v2/lgbm_step_090.pkl
2025-07-17 13:24:45 - INFO - app - Saved model for step 91 → Model/v2/lgbm_step_091.pkl
2025-07-17 13:24:51 - INFO - app - Saved model for step 92 → Model/v2/lgbm_step_092.pkl
2025-07-17 13:24:56 - INFO - app - Saved model for step 93 → Model/v2/lgbm_step_093.pkl
2025-07-17 13:25:00 - INFO - app - Saved model for step 94 → Model/v2/lgbm_step_094.pkl
2025-07-17 13:25:05 - INFO - app - Saved model for step 95 → Model/v2/lgbm_step_095.pkl
2025-07-17 13:25:09 - INFO - app - Saved model for step 96 → Model/v2/lgbm_step_096.pkl
2025-07-17 13:25:13 - INFO - app - Saved model for step 97 → Model/v2/lgbm_step_097.pkl
2025-07-17 13:25:18 - INFO - app - Saved model for step 98 → Model/v2/lgbm_step_098.pkl
2025-07-17 13:25:25 - INFO - app - Saved model for step 99 → Model/v2/lgbm_step_099.pkl
2025-07-17 13:25:29 - INFO - app - Saved model for step 100 → Model/v2/lgbm_step_100.pkl
2025-07-17 13:25:34 - INFO - app - Saved model for step 101 → Model/v2/lgbm_step_101.pkl
2025-07-17 13:25:38 - INFO - app - Saved model for step 102 → Model/v2/lgbm_step_102.pkl
2025-07-17 13:25:43 - INFO - app - Saved model for step 103 → Model/v2/lgbm_step_103.pkl
2025-07-17 13:25:47 - INFO - app - Saved model for step 104 → Model/v2/lgbm_step_104.pkl
2025-07-17 13:25:51 - INFO - app - Saved model for step 105 → Model/v2/lgbm_step_105.pkl
2025-07-17 13:25:58 - INFO - app - Saved model for step 106 → Model/v2/lgbm_step_106.pkl
2025-07-17 13:26:03 - INFO - app - Saved model for step 107 → Model/v2/lgbm_step_107.pkl
2025-07-17 13:26:07 - INFO - app - Saved model for step 108 → Model/v2/lgbm_step_108.pkl
2025-07-17 13:26:11 - INFO - app - Saved model for step 109 → Model/v2/lgbm_step_109.pkl
2025-07-17 13:26:16 - INFO - app - Saved model for step 110 → Model/v2/lgbm_step_110.pkl
