2025-07-30 11:38:52 - INFO - app - 📌 기준 시점: 2024-05-08 22:55:00
2025-07-30 11:38:52 - INFO - app - 📆 총 3개 날짜, 36개 시점 생성 완료
2025-07-30 11:38:52 - INFO - app - ✅ Data load skip: 총 3개 파일 저장됨
2025-07-30 11:38:52 - INFO - app - ✅ 데이터 링크변환 skip: 20240508 ~ 20240501, 총 3개 파일 저장됨
2025-07-30 11:39:06 - INFO - app - 🔹 총 39개 클러스터를 배치 크기 10로 처리
2025-07-30 11:39:06 - INFO - app - 🔹 배치 1 처리 중... (1-10/39)
2025-07-30 11:39:06 - WARNING - app - 링크 2333704400 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2334267500 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333568200 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333964300 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333041905 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333126203 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333256800 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333051901 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333051001 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333969300 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333257200 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333303900 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333030800 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333877902 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333257100 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333916202 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333023700 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333056004 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333954700 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333968802 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333310300 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2330039708 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2330025202 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2334262300 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333079900 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333051802 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333313600 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333962900 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333955300 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2334266900 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2330039704 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333973100 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333969500 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2334257400 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2334307701 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333235101 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333298900 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333664900 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2334268600 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333259200 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333567900 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333661401 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333954100 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2330025203 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333073401 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333966203 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333972900 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333172300 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333309100 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333952600 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2330022743 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2334264100 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2330031600 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2330022803 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333363200 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2330028102 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2334258500 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333951000 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333041802 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333313500 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333014600 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333914801 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333912701 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333059200 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2334269300 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333967200 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333050501 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2334035600 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333282700 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333041904 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2330021003 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333120500 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333344900 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2330022732 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333257400 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333226512 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2334263500 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2330031900 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2334261500 처리 중 오류: 'NoneType' object has no attribute 'loc'
