2025-07-30 14:30:33 - INFO - app - 📆 date_range 모드: 총 77일 간 데이터 조회 예정 → [datetime.datetime(2025, 3, 11, 0, 0), datetime.datetime(2025, 3, 12, 0, 0), datetime.datetime(2025, 3, 13, 0, 0), datetime.datetime(2025, 3, 14, 0, 0), datetime.datetime(2025, 3, 15, 0, 0), datetime.datetime(2025, 3, 16, 0, 0), datetime.datetime(2025, 3, 17, 0, 0), datetime.datetime(2025, 3, 18, 0, 0), datetime.datetime(2025, 3, 19, 0, 0), datetime.datetime(2025, 3, 20, 0, 0), datetime.datetime(2025, 3, 21, 0, 0), datetime.datetime(2025, 3, 22, 0, 0), datetime.datetime(2025, 3, 23, 0, 0), datetime.datetime(2025, 3, 24, 0, 0), datetime.datetime(2025, 3, 25, 0, 0), datetime.datetime(2025, 3, 26, 0, 0), datetime.datetime(2025, 3, 27, 0, 0), datetime.datetime(2025, 3, 28, 0, 0), datetime.datetime(2025, 3, 29, 0, 0), datetime.datetime(2025, 3, 30, 0, 0), datetime.datetime(2025, 3, 31, 0, 0), datetime.datetime(2025, 4, 1, 0, 0), datetime.datetime(2025, 4, 2, 0, 0), datetime.datetime(2025, 4, 3, 0, 0), datetime.datetime(2025, 4, 4, 0, 0), datetime.datetime(2025, 4, 5, 0, 0), datetime.datetime(2025, 4, 6, 0, 0), datetime.datetime(2025, 4, 7, 0, 0), datetime.datetime(2025, 4, 8, 0, 0), datetime.datetime(2025, 4, 9, 0, 0), datetime.datetime(2025, 4, 10, 0, 0), datetime.datetime(2025, 4, 11, 0, 0), datetime.datetime(2025, 4, 12, 0, 0), datetime.datetime(2025, 4, 13, 0, 0), datetime.datetime(2025, 4, 14, 0, 0), datetime.datetime(2025, 4, 15, 0, 0), datetime.datetime(2025, 4, 16, 0, 0), datetime.datetime(2025, 4, 17, 0, 0), datetime.datetime(2025, 4, 18, 0, 0), datetime.datetime(2025, 4, 19, 0, 0), datetime.datetime(2025, 4, 20, 0, 0), datetime.datetime(2025, 4, 21, 0, 0), datetime.datetime(2025, 4, 22, 0, 0), datetime.datetime(2025, 4, 23, 0, 0), datetime.datetime(2025, 4, 24, 0, 0), datetime.datetime(2025, 4, 25, 0, 0), datetime.datetime(2025, 4, 26, 0, 0), datetime.datetime(2025, 4, 27, 0, 0), datetime.datetime(2025, 4, 28, 0, 0), datetime.datetime(2025, 4, 29, 0, 0), datetime.datetime(2025, 4, 30, 0, 0), datetime.datetime(2025, 5, 1, 0, 0), datetime.datetime(2025, 5, 2, 0, 0), datetime.datetime(2025, 5, 3, 0, 0), datetime.datetime(2025, 5, 4, 0, 0), datetime.datetime(2025, 5, 5, 0, 0), datetime.datetime(2025, 5, 6, 0, 0), datetime.datetime(2025, 5, 7, 0, 0), datetime.datetime(2025, 5, 8, 0, 0), datetime.datetime(2025, 5, 9, 0, 0), datetime.datetime(2025, 5, 10, 0, 0), datetime.datetime(2025, 5, 11, 0, 0), datetime.datetime(2025, 5, 12, 0, 0), datetime.datetime(2025, 5, 13, 0, 0), datetime.datetime(2025, 5, 14, 0, 0), datetime.datetime(2025, 5, 15, 0, 0), datetime.datetime(2025, 5, 16, 0, 0), datetime.datetime(2025, 5, 17, 0, 0), datetime.datetime(2025, 5, 18, 0, 0), datetime.datetime(2025, 5, 19, 0, 0), datetime.datetime(2025, 5, 20, 0, 0), datetime.datetime(2025, 5, 21, 0, 0), datetime.datetime(2025, 5, 22, 0, 0), datetime.datetime(2025, 5, 23, 0, 0), datetime.datetime(2025, 5, 24, 0, 0), datetime.datetime(2025, 5, 25, 0, 0), datetime.datetime(2025, 5, 26, 0, 0)]
2025-07-30 14:30:33 - INFO - app - ✅ Data load skip: 총 77개 파일 저장됨
2025-07-30 14:30:33 - INFO - app - 🔹 최적화된 방법: Raw 데이터에서 바로 클러스터 텐서 생성
2025-07-30 14:30:41 - INFO - app - 🔹 Raw 파일 77개 처리 시작
2025-07-30 14:30:41 - INFO - app - 🔹 클러스터 0 처리 중... (링크 수: 232)
2025-07-30 14:30:41 - INFO - app - 🔹 클러스터 1 처리 중... (링크 수: 242)
2025-07-30 14:30:42 - INFO - app - 🔹 클러스터 2 처리 중... (링크 수: 193)
2025-07-30 14:30:42 - INFO - app - 🔹 클러스터 3 처리 중... (링크 수: 227)
2025-07-30 14:30:42 - INFO - app - 🔹 클러스터 4 처리 중... (링크 수: 225)
2025-07-30 14:30:42 - INFO - app - 🔹 클러스터 5 처리 중... (링크 수: 234)
2025-07-30 14:30:43 - INFO - app - 🔹 클러스터 6 처리 중... (링크 수: 258)
2025-07-30 14:30:43 - INFO - app - 🔹 클러스터 7 처리 중... (링크 수: 255)
2025-07-30 14:30:44 - INFO - app - 🔹 클러스터 8 처리 중... (링크 수: 218)
2025-07-30 14:30:44 - INFO - app - 🔹 클러스터 9 처리 중... (링크 수: 199)
2025-07-30 14:30:44 - INFO - app - 🔹 클러스터 10 처리 중... (링크 수: 200)
2025-07-30 14:30:44 - INFO - app - 🔹 클러스터 11 처리 중... (링크 수: 226)
2025-07-30 14:30:45 - INFO - app - 🔹 클러스터 12 처리 중... (링크 수: 247)
2025-07-30 14:30:45 - INFO - app - 🔹 클러스터 13 처리 중... (링크 수: 238)
2025-07-30 14:30:45 - INFO - app - 🔹 클러스터 14 처리 중... (링크 수: 226)
2025-07-30 14:30:46 - INFO - app - 🔹 클러스터 15 처리 중... (링크 수: 260)
2025-07-30 14:30:46 - INFO - app - 🔹 클러스터 16 처리 중... (링크 수: 263)
2025-07-30 14:30:47 - INFO - app - 🔹 클러스터 17 처리 중... (링크 수: 221)
2025-07-30 14:30:47 - INFO - app - 🔹 클러스터 18 처리 중... (링크 수: 223)
2025-07-30 14:30:47 - INFO - app - 🔹 클러스터 19 처리 중... (링크 수: 221)
2025-07-30 14:30:48 - INFO - app - 🔹 클러스터 20 처리 중... (링크 수: 263)
2025-07-30 14:30:48 - INFO - app - 🔹 클러스터 21 처리 중... (링크 수: 219)
2025-07-30 14:30:48 - INFO - app - 🔹 클러스터 22 처리 중... (링크 수: 246)
2025-07-30 14:30:49 - INFO - app - 🔹 클러스터 23 처리 중... (링크 수: 227)
2025-07-30 14:30:49 - INFO - app - 🔹 클러스터 24 처리 중... (링크 수: 184)
2025-07-30 14:30:49 - INFO - app - 🔹 클러스터 25 처리 중... (링크 수: 249)
2025-07-30 14:30:50 - INFO - app - 🔹 클러스터 26 처리 중... (링크 수: 230)
2025-07-30 14:30:50 - INFO - app - 🔹 클러스터 27 처리 중... (링크 수: 221)
2025-07-30 14:30:50 - INFO - app - 🔹 클러스터 28 처리 중... (링크 수: 236)
2025-07-30 14:30:51 - INFO - app - 🔹 클러스터 29 처리 중... (링크 수: 214)
2025-07-30 14:30:51 - INFO - app - 🔹 클러스터 30 처리 중... (링크 수: 226)
2025-07-30 14:30:51 - INFO - app - 🔹 클러스터 31 처리 중... (링크 수: 255)
2025-07-30 14:30:52 - INFO - app - 🔹 클러스터 32 처리 중... (링크 수: 237)
2025-07-30 14:30:52 - INFO - app - 🔹 클러스터 33 처리 중... (링크 수: 221)
2025-07-30 14:30:52 - INFO - app - 🔹 클러스터 34 처리 중... (링크 수: 222)
2025-07-30 14:30:53 - INFO - app - 🔹 클러스터 35 처리 중... (링크 수: 266)
2025-07-30 14:30:53 - INFO - app - 🔹 클러스터 36 처리 중... (링크 수: 229)
2025-07-30 14:30:53 - INFO - app - 🔹 클러스터 37 처리 중... (링크 수: 218)
2025-07-30 14:30:54 - INFO - app - 🔹 클러스터 38 처리 중... (링크 수: 235)
2025-07-30 14:30:54 - INFO - app - ✅ Raw 데이터에서 클러스터 텐서 생성 완료: Model/v0에 저장됨
