2025-08-09 12:47:21 - INFO - app - 📆 date_range 모드: 총 56일 간 데이터 조회 예정 → [datetime.datetime(2025, 4, 1, 0, 0), datetime.datetime(2025, 4, 2, 0, 0), datetime.datetime(2025, 4, 3, 0, 0), datetime.datetime(2025, 4, 4, 0, 0), datetime.datetime(2025, 4, 5, 0, 0), datetime.datetime(2025, 4, 6, 0, 0), datetime.datetime(2025, 4, 7, 0, 0), datetime.datetime(2025, 4, 8, 0, 0), datetime.datetime(2025, 4, 9, 0, 0), datetime.datetime(2025, 4, 10, 0, 0), datetime.datetime(2025, 4, 11, 0, 0), datetime.datetime(2025, 4, 12, 0, 0), datetime.datetime(2025, 4, 13, 0, 0), datetime.datetime(2025, 4, 14, 0, 0), datetime.datetime(2025, 4, 15, 0, 0), datetime.datetime(2025, 4, 16, 0, 0), datetime.datetime(2025, 4, 17, 0, 0), datetime.datetime(2025, 4, 18, 0, 0), datetime.datetime(2025, 4, 19, 0, 0), datetime.datetime(2025, 4, 20, 0, 0), datetime.datetime(2025, 4, 21, 0, 0), datetime.datetime(2025, 4, 22, 0, 0), datetime.datetime(2025, 4, 23, 0, 0), datetime.datetime(2025, 4, 24, 0, 0), datetime.datetime(2025, 4, 25, 0, 0), datetime.datetime(2025, 4, 26, 0, 0), datetime.datetime(2025, 4, 27, 0, 0), datetime.datetime(2025, 4, 28, 0, 0), datetime.datetime(2025, 4, 29, 0, 0), datetime.datetime(2025, 4, 30, 0, 0), datetime.datetime(2025, 5, 1, 0, 0), datetime.datetime(2025, 5, 2, 0, 0), datetime.datetime(2025, 5, 3, 0, 0), datetime.datetime(2025, 5, 4, 0, 0), datetime.datetime(2025, 5, 5, 0, 0), datetime.datetime(2025, 5, 6, 0, 0), datetime.datetime(2025, 5, 7, 0, 0), datetime.datetime(2025, 5, 8, 0, 0), datetime.datetime(2025, 5, 9, 0, 0), datetime.datetime(2025, 5, 10, 0, 0), datetime.datetime(2025, 5, 11, 0, 0), datetime.datetime(2025, 5, 12, 0, 0), datetime.datetime(2025, 5, 13, 0, 0), datetime.datetime(2025, 5, 14, 0, 0), datetime.datetime(2025, 5, 15, 0, 0), datetime.datetime(2025, 5, 16, 0, 0), datetime.datetime(2025, 5, 17, 0, 0), datetime.datetime(2025, 5, 18, 0, 0), datetime.datetime(2025, 5, 19, 0, 0), datetime.datetime(2025, 5, 20, 0, 0), datetime.datetime(2025, 5, 21, 0, 0), datetime.datetime(2025, 5, 22, 0, 0), datetime.datetime(2025, 5, 23, 0, 0), datetime.datetime(2025, 5, 24, 0, 0), datetime.datetime(2025, 5, 25, 0, 0), datetime.datetime(2025, 5, 26, 0, 0)]
2025-08-09 12:47:21 - INFO - app - 📊 확장된 범위: 2025-03-24 ~ 2025-05-26 (총 64개 파일)
2025-08-09 12:47:21 - INFO - app - 🔍 최대 lookback: 8일 (10135분)
2025-08-09 12:47:21 - INFO - app - ✅ Data load skip: 총 64개 파일 저장됨
2025-08-09 12:47:21 - INFO - app - ✅ 데이터 전처리 skip: Model/v0에 저장됨
2025-08-09 12:47:21 - INFO - app - ✅ MAPE for model 0 loaded from cache: 0.0511
2025-08-09 12:47:21 - INFO - app - ✅ MAPE for model 1 loaded from cache: 0.0455
2025-08-09 12:47:21 - INFO - app - ✅ MAPE for model 2 loaded from cache: 0.0555
2025-08-09 12:47:21 - INFO - app - ✅ MAPE for model 3 loaded from cache: 0.0534
2025-08-09 12:47:21 - INFO - app - ✅ MAPE for model 4 loaded from cache: 0.0549
2025-08-09 12:47:21 - INFO - app - ✅ MAPE for model 5 loaded from cache: 0.0420
2025-08-09 12:47:21 - INFO - app - ✅ MAPE for model 6 loaded from cache: 0.0451
2025-08-09 12:47:21 - INFO - app - ✅ MAPE for model 7 loaded from cache: 0.0569
2025-08-09 12:47:21 - INFO - app - ✅ MAPE for model 8 loaded from cache: 0.0439
2025-08-09 12:47:21 - INFO - app - ✅ MAPE for model 9 loaded from cache: 0.0310
2025-08-09 12:47:21 - INFO - app - ✅ MAPE for model 10 loaded from cache: 0.0312
2025-08-09 12:47:21 - INFO - app - ✅ MAPE for model 11 loaded from cache: 0.0343
2025-08-09 12:47:21 - INFO - app - ✅ MAPE for model 12 loaded from cache: 0.0575
2025-08-09 12:47:21 - INFO - app - ✅ MAPE for model 13 loaded from cache: 0.0392
2025-08-09 12:47:21 - INFO - app - ✅ MAPE for model 14 loaded from cache: 0.0441
2025-08-09 12:47:21 - INFO - app - ✅ MAPE for model 15 loaded from cache: 0.0445
2025-08-09 12:47:21 - INFO - app - ✅ MAPE for model 16 loaded from cache: 0.0458
2025-08-09 12:47:21 - INFO - app - ✅ MAPE for model 17 loaded from cache: 0.0537
2025-08-09 12:47:21 - INFO - app - ✅ MAPE for model 18 loaded from cache: 0.0540
2025-08-09 12:47:21 - INFO - app - ✅ MAPE for model 19 loaded from cache: 0.0660
2025-08-09 12:47:21 - INFO - app - ✅ MAPE for model 20 loaded from cache: 0.0553
2025-08-09 12:47:21 - INFO - app - ✅ MAPE for model 21 loaded from cache: 0.0595
2025-08-09 12:47:21 - INFO - app - ✅ MAPE for model 22 loaded from cache: 0.0530
2025-08-09 12:47:21 - INFO - app - ✅ MAPE for model 23 loaded from cache: 0.0542
2025-08-09 12:47:22 - INFO - app - ✅ MAPE for model 24 loaded from cache: 0.0345
2025-08-09 12:47:22 - INFO - app - ✅ MAPE for model 25 loaded from cache: 0.0500
2025-08-09 12:47:22 - INFO - app - ✅ MAPE for model 26 loaded from cache: 0.0451
2025-08-09 12:47:22 - INFO - app - ✅ MAPE for model 27 loaded from cache: 0.0659
2025-08-09 12:47:22 - INFO - app - ✅ MAPE for model 28 loaded from cache: 0.0529
2025-08-09 12:47:22 - INFO - app - ✅ MAPE for model 29 loaded from cache: 0.0350
2025-08-09 12:47:22 - INFO - app - ✅ MAPE for model 30 loaded from cache: 0.0411
2025-08-09 12:47:22 - INFO - app - ✅ MAPE for model 31 loaded from cache: 0.0512
2025-08-09 12:47:22 - INFO - app - ✅ MAPE for model 32 loaded from cache: 0.0415
2025-08-09 12:47:22 - INFO - app - ✅ MAPE for model 33 loaded from cache: 0.0396
2025-08-09 12:47:22 - INFO - app - ✅ MAPE for model 34 loaded from cache: 0.0668
2025-08-09 12:47:22 - INFO - app - ✅ MAPE for model 35 loaded from cache: 0.0690
2025-08-09 12:47:22 - INFO - app - ✅ MAPE for model 36 loaded from cache: 0.0409
2025-08-09 12:47:22 - INFO - app - ✅ MAPE for model 37 loaded from cache: 0.0563
2025-08-09 12:47:22 - INFO - app - ✅ MAPE for model 38 loaded from cache: 0.0549
